Sl. No.,State/UT,Personal Revenge,Anger,Fraud,Extortion,Causing Disrepute,Prank,Sexual Exploitation,Political Motives,Terrorist Activities,Inciting Hate against Country,Disrupt Public Service,Sale Purchase illegal drugs,Developing own business,Spreading Piracy,Psycho or Pervert,Steal Information,Abetment to Suicide,Others,Total
1,Andhra Pradesh,46,30,1245,64,14,0,139,36,0,0,3,0,9,6,2,3,0,278,1875
2,Arunachal Pradesh,10,5,8,2,0,0,4,0,0,0,0,0,0,0,0,0,0,18,47
3,Assam,802,144,704,496,175,34,1147,112,3,12,5,10,15,0,0,0,0,1187,4846
4,Bihar,51,98,1033,93,19,31,88,0,0,0,0,0,0,0,0,0,0,0,1413
5,Chhattisgarh,8,1,75,1,27,0,65,0,0,0,0,0,0,0,0,0,0,175,352
6,Goa,0,2,23,1,5,0,4,1,0,0,0,0,0,0,0,0,0,0,36
7,Gujarat,5,27,968,17,383,8,60,6,1,0,1,0,0,1,0,0,0,59,1536
8,Haryana,11,1,76,13,10,0,96,2,0,4,2,0,8,2,0,0,0,397,622
9,Himachal Pradesh,0,1,29,7,12,1,11,2,1,0,0,0,0,1,0,0,0,5,70
10,Jharkhand,7,0,813,29,14,0,30,0,0,0,0,0,0,0,0,0,0,60,953
11,Karnataka,33,11,7236,73,68,1,319,3,0,0,1,0,43,0,0,1,0,347,8136
12,Kerala,38,22,227,20,24,12,170,2,0,0,2,0,0,1,0,0,0,108,626
13,Madhya Pradesh,14,27,244,16,97,0,100,3,1,0,1,0,0,0,0,1,0,85,589
14,Maharashtra,28,84,3219,81,107,8,628,5,0,0,2,3,15,0,0,0,0,1382,5562
15,Manipur,3,0,16,2,0,0,37,0,0,2,0,1,0,6,0,0,0,0,67
16,Meghalaya,2,2,56,11,5,1,18,0,0,0,0,0,0,0,0,0,0,12,107
17,Mizoram,1,0,0,0,0,4,2,0,0,0,0,0,13,0,0,10,0,0,30
18,Nagaland,0,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8
19,Odisha,1,1,1484,265,0,0,286,0,0,0,0,0,0,0,0,0,0,0,2037
20,Punjab,12,20,192,28,20,5,110,3,1,1,0,0,9,9,0,6,0,135,551
21,Rajasthan,16,18,759,91,58,6,203,5,0,2,1,0,5,0,0,0,0,340,1504
22,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Tamil Nadu,55,42,602,39,13,8,107,44,0,0,9,0,2,23,1,0,0,131,1076
24,Telangana,485,166,8690,102,0,0,87,17,2,0,0,0,3,0,0,0,0,751,10303
25,Tripura,13,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24
26,Uttar Pradesh,45,147,4073,1108,660,94,512,64,0,10,9,0,54,14,0,19,0,2020,8829
27,Uttarakhand,20,25,256,264,0,5,74,0,0,0,0,0,0,8,0,0,0,66,718
28,West Bengal,10,5,47,18,0,21,53,4,0,0,0,0,0,0,0,0,0,355,513
Total State(S),Total State(S),1716,879,32085,2847,1711,239,4353,309,9,31,36,14,176,71,3,40,0,7911,52430
29,Andaman and Nicobar Islands,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,8
30,Chandigarh,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,15
31,Dadra and Nagar Haveli and Daman and Diu,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5
32,Delhi,4,4,55,20,0,0,176,0,0,0,1,0,1,2,0,0,0,93,356
33,Jammu and Kashmir,4,0,83,16,3,1,14,2,2,0,3,0,0,1,0,0,0,25,154
34,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
35,Lakshadweep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total UT(S),Total UT(S),8,4,145,36,4,1,202,2,2,0,4,0,1,3,0,0,0,132,544
Total All India,Total All India,1724,883,32230,2883,1715,240,4555,311,11,31,40,14,177,74,3,40,0,8043,52974
